id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
01a2070d-bf93-4fab-9c4d-c43b7eab9c3b,attract.ai,resell,,,78,12,7,101domain GRS Limited,16/12/2017 02:30,17/07/2026 02:30
02317d7f-d4f3-433d-9b1d-01c4ef60bd95,fractions.ai,resell,,,52,7,9,Netherlands Domains,08/08/2023 16:54,08/08/2027 16:54
03728d69-52f0-471e-b96e-756bfc01080a,finalreckoning.ai,available,114.98,,58,2,15,namecheap,,
03ed844b-9ad1-4c00-8de3-e45870b9659f,advertising.ai,resell,,,80,28,11,101domain GRS Limited,16/12/2017 04:23,02/05/2027 04:23
046ae184-9ac6-4880-855f-dc8d7a9f1a59,aldehydes.ai,available,99.99,99.99,36,1,9,namesilo,,
063496e1-a68c-4e9e-8953-354077de188e,OxyContin.ai,available,99.99,99.99,64,6,9,namesilo,,
065838e9-97ab-40e2-95a6-51770e51948e,possibilities.ai,resell,,,52,7,13,"NameCheap, Inc.",01/10/2022 15:25,01/10/2026 15:25
0843c487-277b-45e0-9804-a738d0d8a86d,openings.ai,resell,,,62,9,8,"NameCheap, Inc.",08/08/2018 22:43,08/08/2026 22:43
0b1b37a7-c896-43f8-b5eb-4e982cf6fe2f,makeupartist.ai,resell,,,76,5,13,"Spaceship, Inc.",15/09/2025 00:53,15/09/2027 00:53
0cadd1bf-3216-4df3-883e-d98a849cc2c1,Pamela.ai,resell,,,78,10,6,"NameCheap, Inc.",07/09/2019 12:46,07/09/2027 12:46
0dd9a8ae-b958-4c60-953a-ffe11b251338,uptoanything.ai,available,114.98,,52,1,14,namecheap,,
0e392029-5494-49e2-befb-78497cb5f3b7,motors.ai,resell,,,50,18,6,"NameCheap, Inc.",15/12/2017 23:38,17/01/2031 23:38
0e4027fd-b923-402a-8e9d-eb8da078943a,TheMall.ai,resell,,,68,10,8,"GoDaddy.com, LLC",16/01/2023 15:52,16/01/2027 15:52
0ea0f0b5-4e88-4192-a414-b78d5aeaff31,OpiumWar.ai,available,114.98,,52,1,9,namecheap,,
0fa271d1-5341-402f-a6cf-48f781843d69,collapses.ai,available,99.99,99.99,38,1,9,namesilo,,
